"","ReasonA","ReasonB","Choice","Respondent"
"92","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","30467965"
"93","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","30467965"
"94","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","30467965"
"95","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","I am not sure","30823953"
"96","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","30823953"
"97","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","I am not sure","30823953"
"98","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","I am not sure","30823953"
"99","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","30823953"
"100","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","30852319"
"101","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","30852319"
"102","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","30852319"
"103","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason A is better","30852319"
"104","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason A is better","30852319"
"105","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason A is better","34552136"
"106","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","34552136"
"107","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason A is better","34552136"
"108","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason B is better","34552136"
"109","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","34552136"
"110","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","35876092"
"111","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason B is better","35876092"
"112","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","35876092"
"113","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","35876092"
"114","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","35876092"
"115","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","4097461"
"116","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","4097461"
"117","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","4097461"
"118","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","4097461"
"119","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","4097461"
"120","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason B is better","41796940"
"121","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","41796940"
"122","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason A is better","41796940"
"123","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","41796940"
"124","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","41796940"
"125","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason A is better","42242611"
"126","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason A is better","42242611"
"127","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","42242611"
"128","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason B is better","42242611"
"129","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason B is better","42242611"
"130","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","42627297"
"131","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","42627297"
"132","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason B is better","42627297"
"133","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","42627297"
"134","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","42627297"
"135","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","42627297"
"136","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason B is better","42627297"
"137","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason B is better","42627297"
"138","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","42627297"
"139","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","42627297"
"140","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","42627297"
"141","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason B is better","42627297"
"142","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason B is better","42627297"
"143","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason B is better","42627297"
"144","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","42703609"
"145","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","42703609"
"146","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason B is better","42703609"
"147","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","I am not sure","42703609"
"148","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","42703609"
"149","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason B is better","432883"
"150","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason A is better","432883"
"151","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","432883"
"152","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason B is better","432883"
"153","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason B is better","432883"
"154","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","4354503"
"155","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","4354503"
"156","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","4354503"
"157","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason B is better","4354503"
"158","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","Reason B is better","4354503"
"159","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason A is better","44182311"
"160","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason A is better","44182311"
"161","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","44182311"
"162","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","I am not sure","44182311"
"163","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason B is better","44182311"
"164","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","44851353"
"165","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason B is better","44851353"
"166","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","I am not sure","44851353"
"167","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","Reason A is better","44851353"
"168","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","Reason A is better","44851353"
"169","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Reason A is better","46960438"
"170","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Reason A is better","46960438"
"171","UCL Innovation & Enterprise, our centre for entrepreneurship, offers training, networking, competitions and business support for UCL students seeking to start their own business.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","47451078"
"172","Around 41% of our students come from outside the UK, from more than 150 countries, and UCL has a friendly and cosmopolitan atmosphere. We work hard to embed a global perspective in all our teaching.","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","Reason A is better","47451078"
"173","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason B is better","47451078"
"174","We are a world-leader in research, with outstanding results in the most recent Research Excellence Framework (REF) 2014.","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Reason B is better","47451078"
"175","There are plenty of opportunities to study abroad for a term or a year - around 25% of our students spend some time in another country as part of their degree programme.","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","Reason B is better","47451078"
"176","There has been at least one Nobel Laureate from the UCL community every decade since the establishment of the prizes in 1901.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","47511958"
"177","UCL is a multi-disciplinary university, home to centres of teaching excellence in subjects from medicine to languages, law to engineering and history to astrophysics. We encourage interdisciplinary study and believe that all areas of study can inform and enrich each other.","Our central London location gives our students access not only to the best in entertainment and nightlife, but also to cultural and academic resources. We are close to, and have teaching and research links with, countless hospitals, museums, galleries, libraries and professional bodies. In fact, London has been ranked, for the second year running, as the best city in the world for students (QS Best Student Cities 2017, 2018)!","Reason A is better","47511958"
"178","We are one of the world's very best universities, consistently placed in the global top 20 in a wide range of world rankings. Currently we are 10th in the QS World University Rankings (2019) and 3rd in Europe in the Shanghai Jiao Tong Academic World Rankings (2018).","We have found that intellectually curious students learn best when they experience first-hand the challenges of conducting research - so initiatives like the Connected Curriculum scheme aim to ensure that our students can take an active part in the thriving research culture at UCL.","Reason B is better","47511958"
"179","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","UCL Careers offers professional help and advice to students seeking employment, work experience placements or further study, and our Alumni Relations office facilitates networking to help UCL graduates in their chosen careers.","Reason B is better","47511958"
"180","Around 90% of UCL graduates enter work or further study within six months of graduating (data taken from the Destinations of Leavers from Higher Education survey undertaken by the Higher Education Statistics Agency (HESA), looking at destinations of UK and EU graduates in the 2017 cohort).","Our innovative Global Citizenship programme gives our students the chance to learn new skills, working on interdisciplinary projects related to our Grand Challenges.","Reason A is better","47511958"
